Subject,BA番号,解剖学的位置,主要機能,Delta波特性,Theta波特性,Alpha波特性,Beta波特性,Gamma波特性,結合パターン,臨床的意義,Error
BA15,BA15,"Brodmann Area 15 is located in the part of the insula nearest the temporal lobe and part of the anterior temporal lobe facing the insula. It is buried within the Sylvian Fissure, making it not visible on the surface of the brain without dissection.","BA15 receives input from the carotid sinus via Hering's nerves, relaying blood pressure and blood chemistry information to the brain. This indicates a primary role in interoception and autonomic regulation, particularly in monitoring cardiovascular and chemosensory states. It is also implicated in the experience of panic attacks.","Specific delta wave characteristics for BA15 are not explicitly detailed in the available literature. Delta waves (0.5-4 Hz) are typically associated with deep sleep and certain pathological states. In the context of epilepsy in the anterior temporal lobe, focal slow waves (including delta) can be observed.","Specific theta wave characteristics for BA15 are not explicitly detailed. However, studies on the insula show prominent theta oscillations (~6-9 Hz). Theta waves (4-8 Hz) are generally associated with memory, navigation, and meditative states. Altered theta activity in the anterior temporal lobe is often observed in temporal lobe epilepsy.","Specific alpha wave characteristics for BA15 are not explicitly detailed in the available literature. However, the insula and anterior temporal lobe, where BA15 is located or has homologous areas, are involved in various brain activities that would encompass alpha rhythms.","Specific beta wave characteristics for BA15 are not explicitly detailed. However, studies on the insula show prominent beta oscillations (~15-32 Hz). Beta waves are generally associated with active thinking, alertness, and concentration. In the context of panic attacks, where BA15 is active, altered beta activity might be expected.","Specific gamma wave characteristics for BA15 are not explicitly detailed in the available literature. Gamma waves (30-100 Hz and above) are generally associated with higher-order cognitive functions, perception, and consciousness. Given the insula's role in complex cognitive and emotional processing, gamma activity would likely be present in homologous human areas.","BA15 is the cortical target of information coming through Hering's nerves, receiving input from the carotid sinus. This suggests strong functional connectivity with brainstem nuclei involved in cardiovascular regulation. As part of the insula and anterior temporal lobe, it would also have connections with other limbic structures, prefrontal cortex, and sensory processing areas, contributing to interoception and emotional processing.","Brodmann Area 15 has been shown to be active during panic attacks. Given its role in processing blood pressure and blood chemistry information from Hering's nerves, its dysfunction could be implicated in conditions involving autonomic dysregulation or anxiety disorders. While BA15 itself is not consistently identified in humans, homologous areas in the insula and anterior temporal lobe are implicated in various neurological and psychiatric conditions, including epilepsy and anxiety.",
BA16,BA16,"Brodmann Area 16 (BA16) is a subdivision of the human insular cortex, also known as the insula or Island of Reil. It is a distinct lobe located deep inside the lateral sulcus of the Sylvian fissure, hidden by the frontal and temporal opercula. The insula is disproportionately increased in humans compared to macaques. It contains five to seven oblique gyri that converge inferiorly, giving a fan-like appearance. A central insular sulcus divides the lobe into an anterior and a posterior half. Cytoarchitectonics and myeloarchitectonics identify three major subdivisions in the insular cortex in humans and primates. BA16 is specifically mentioned as one of the Brodmann areas (13 to 16) that constitute the human insular cortex.","Brodmann Area 16 (BA16), as an integral part of the insular cortex, is implicated in a diverse array of functions encompassing sensory processing, motor control, and higher-order cognitive and emotional processes. In terms of **sensory processing**, BA16 is associated with visceral sensations and has been linked to sensory warnings experienced during seizures, often manifesting as a burning heat sensation localized around the mouth. Regarding **motor control**, stimulation of this area can induce pharyngeal symptoms, such as involuntary throat movements, and various motor symptoms including facial or upper limb spasms, head or eye rotation, and generalized dystonia. Furthermore, BA16 contributes significantly to **cognitive and emotional functions**. Functional neuroimaging studies have established its involvement in desires, cravings, and addiction. It also plays a crucial role in the pathophysiology of several psychiatric disorders, including schizophrenia, mood disorders, panic disorder, post-traumatic stress disorder, and obsessive-compulsive disorder. Beyond these, BA16 is recognized for its contributions to interoception, self-awareness, and the broader spectrum of emotional experiences.","While not directly specified for BA16, the insular cortex, particularly Brodmann Area 13 (adjacent to and functionally related to BA16), has been noted to demonstrate increased delta slow waves. These delta waves have been linked to worsening symptoms in conditions such as Post-Traumatic Stress Disorder (PTSD).","Research indicates that theta (~6–9 Hz) frequency oscillations are widespread and spontaneously present within the human insula, including the region encompassing BA16. These oscillations are largely organized along the anterior–posterior axis of the insula, with the left insula showing a posterior-to-anterior decreasing frequency gradient and an anterior-to-posterior decreasing power gradient in the theta band. Insular theta oscillations operate as traveling waves.","Studies on the human insula have explicitly noted an absence of 9–15 Hz oscillations, suggesting that typical alpha wave activity (8-13 Hz) is not a prominent feature of the insular cortex, including BA16. However, some research on the insular cortex has explored the modulation of alpha oscillations in response to painful stimuli, indicating that while not a dominant spontaneous rhythm, alpha activity can be influenced.","Beta (~15–32 Hz) frequency oscillations are widespread and spontaneously present within the human insula, including the region encompassing BA16. Both the left and right insula show anterior-to-posterior decreasing gradients for the power of oscillations in the beta frequency band. Insular beta oscillations also operate as traveling waves, uncoupled from theta waves in terms of phase and amplitude.","Specific information regarding gamma wave characteristics directly within BA16 is limited. However, the broader insular cortex is known to be involved in various sensory and cognitive processes where gamma oscillations often play a role in binding and information processing. Further research would be needed to pinpoint specific gamma characteristics for BA16 itself.","Brodmann Area 16 (BA16), as part of the insular cortex, exhibits complex connectivity patterns. The anterior insula is primarily connected to the middle and inferior temporal cortex and the anterior cingulate cortex, forming a network related to limbic regions involved in emotional aspects. The middle-posterior insula connects to premotor, sensorimotor, supplementary motor, and middle-posterior cingulate cortices, indicating its role in sensorimotor integration. These two major complementary networks, involving the ventral-anterior and dorsal-posterior insula, are partially lateralized. The salience network, associated with the ventral anterior insula, shows stronger connections with the anterior cingulate cortex on the right side and with the frontal cortex on the left side. The posterior network has stronger connections with the superior temporal cortex and the occipital cortex on the right side. These findings support the idea that the dorsal posterior insula is functionally connected to sensory areas, contributing to visceral sensation.","Brodmann Area 16 (BA16), as an integral part of the insular cortex, holds significant clinical relevance. It is notably implicated in: **Epilepsy:** The insula is a frequent site for seizure onset (insular epilepsy). Direct cortical stimulation (DCS) of the insula is used during epilepsy surgery for functional brain mapping and to localize epileptogenic zones. **Psychiatric and Neurological Disorders:** The insula demonstrates altered structure and function across various psychiatric conditions, including anxiety disorders (specific and social phobia), schizophrenia, mood disorders, panic disorder, post-traumatic stress disorder, and obsessive-compulsive disorder. Its involvement underscores its role in emotional processing and interoception. **Neurodegenerative Diseases:** In conditions like Alzheimer's disease, the insular cortex undergoes substantial pathological changes. Pathology within the insula may predispose individuals to exaggerated blood pressure variability in Alzheimer's disease, highlighting its role in autonomic regulation. **Pain Perception:** The insular cortex plays a crucial role in both physiological and pathological pain processing, integrating sensory, emotional, and cognitive aspects of pain experience.",
BA17,BA17,"Brodmann Area 17 (BA17), also known as the primary visual cortex (V1, striate cortex, or calcarine cortex), is located in the occipital lobe. Specifically, it surrounds the calcarine sulcus (or fissure) on the medial aspect of the occipital lobe. Its alternative name, 'striate cortex,' is derived from the distinctive 'line of Gennari' visible within this area.","BA17 serves as the end organ of the afferent visual system and is critically important for the initial processing of visual information. It receives visual input from the eyes, specifically optical fibers from the ipsilateral temporal retina and the contralateral retina. Its primary role involves processing basic visual features such as luminance contrast, orientation, direction of motion, and spatial frequency.","Non-activating delta waves are present in the primary visual cortex (BA17) during REM sleep, potentially preventing visual stimuli processing. The phase of pre-stimulus delta-wave activity in BA17 can predict the degree of high-gamma augmentation driven by an upcoming visual stimulus.",Sharply contoured theta waves with a duration of 150-250 ms are found in the primary visual cortex (BA17) during phasic REM sleep. These waves might be the human correlate of PGO (ponto-geniculo-occipital) waves.,"Ongoing alpha activity in V1 (BA17) regulates visually driven responses. Alpha activity in the visual cortex is also associated with inhibiting incoming visual information, suggesting a role in attentional modulation.","Beta-band (15-30 Hz) traveling waves are observed in the visual cortices, including V1/V2. Beta oscillations in the early visual cortex adaptively coordinate behavioral context. Visual stimulation can induce a large increase in beta-band activity.","Gamma waves (30-100 Hz, with 40 Hz being significant) are involved in higher cognition, improved working memory, and concentration. Visual stimulation can induce a reduction of gamma-band activity in the primary visual cortex.","Brodmann Area 17 (BA17), or the primary visual cortex (V1), is the main site of input for visual signals. It receives afferent input from the lateral geniculate nucleus (LGN) of the thalamus. V1 then projects visual information to higher visual cortices, including secondary visual cortex (V2) and other extrastriate areas, as well as to visual association cortex. There are also extensive horizontal connections within V1 itself and feedback connections from V2 to V1.","Damage to Brodmann Area 17 (BA17), the primary visual cortex, can lead to significant visual impairments. Conditions associated with BA17 pathology include: Cortical Blindness (Cortical Visual Impairment - CVI) due to damage to the occipital cortex; Neurodegeneration in Huntington's Disease (HD) with a reduction in nerve cell number; alterations in Alzheimer's Disease (AD) and Dementia with Lewy Bodies (DLB) including synaptic protein reductions; volume decrease in congenital blindness; and involvement in epileptic discharges, acting as a potential biomarker for antiepileptic drug responses.",
BA18,BA18,"Brodmann Area 18 (BA18), also known as the parastriate area, is a significant part of the occipital cortex in the human brain. It constitutes a substantial portion of the occipital lobe. Anatomically, it is situated in parts of the cuneus, the lingual gyrus, and the lateral occipital gyrus. It is bordered by Brodmann Area 17 (primary visual cortex) and Brodmann Area 19 (peristriate area).","Brodmann Area 18 (BA18) is primarily known as the Secondary Visual Cortex (V2) or a 'Visual Association Area'. Its main functions involve the initial stages of processing and feature extraction of retinotopic images received from the primary visual cortex (V1/BA17). It refines visual information from V1 and is crucial for intermediate stages of visual perception, including the processing of visual form, color, and motion. It also plays a role in the switching of attention between mental tasks.","No specific information found regarding delta wave characteristics directly tied to BA18 in the search results. Delta waves (0.5-4Hz) are generally associated with deep, dreamless sleep.","Theta activity (4-8Hz) has been identified in Brodmann area 18/19, and is proposed to be directly engaged in mnemonic operations. Theta waves are generally associated with states of deep relaxation, meditation, and sleep, as well as memory encoding and retrieval.",No specific information found regarding alpha wave characteristics directly tied to BA18 in the search results. Alpha waves (8-13Hz) are generally associated with relaxed wakefulness.,"No specific information found regarding beta wave characteristics directly tied to BA18 in the search results. Beta waves (13-30Hz) are generally associated with active, busy, or anxious thinking and active concentration.","Gamma band activity (30-100Hz or above) has been identified in Brodmann area 18/19, particularly in relation to mnemonic operations and visual processing. Gamma waves are generally associated with higher-level cognitive functions, perception, and consciousness.","BA18, as the secondary visual cortex (V2), receives its primary input from the primary visual cortex (BA17 or V1). It maintains reciprocal connections with V1 and also projects to other visual areas anterior and lateral to these early visual areas, including BA19 (V3, V4, V5). It also exhibits connections with prefrontal cortex regions, and its connection patterns with V1 are crucial for its identification. BA18 is involved in the hierarchical processing of visual stimuli, building upon the basic features processed in V1.","Clinical significance of BA18 is primarily related to visual processing disorders. Decreased activity in the lingual gyrus (part of BA18) has been observed, potentially affecting visual processing and memory. As a secondary visual cortex, damage or dysfunction in BA18 can lead to impairments in visual association and feature extraction, contributing to various visual agnosias or difficulties in recognizing and interpreting visual information. It is also implicated in attention switching between mental tasks.",
BA19,BA19,ヒトの脳の後頭葉皮質の一部であり、領域18とともに外線条体皮質（または傍線条体皮質）を構成します。具体的には、舌状回、楔部、外側後頭回（H）、および上後頭回（H）の一部に位置し、頭頂後頭溝によっておおよそ境界されています。片側では、BA19が囲む傍線条体領域18によって境界されています。吻側では、角回領域39（H）と後頭側頭領域37（H）によって境界されています。細胞構築学的には、BA18と比較して、外錐体層（III）のサブレイヤー3bの錐体細胞の分布密度は低く、層は狭くなく、内顆粒層（IV）との境界はそれほど明確ではありません。サブレイヤー3bの細胞は外側境界に集中しており、層IVに隣接する大きな錐体細胞のない狭い透明帯を残しています。層IVの顆粒細胞は分布密度が低く、より大きな多形細胞と混在しているため、層は依然としてかなり暗く目立ちますが、やや広がり、それほど自己完結的ではありません。内錐体層（V）は、小さなグループに分けられた大きな錐体神経節細胞によって特徴付けられ、これは領域18では見られないパターンです。多形層（VI）の細胞は領域18よりも明らかに大きく、全体として、領域19は領域18よりもやや厚く、細胞密度が低いです。,正常な視力を持つヒトにおいて、特徴抽出、形状認識、注意、および多感覚統合機能を持つ視覚連合野です。この領域は、V3、V4、V5（中側頭野、またはMTとしても知られる）、およびV6（背内側野としても知られる）といった視覚領域の領域を含むとされています。機能的磁気共鳴画像法（fMRI）は、BA19内に様々な網膜局所マップの存在を示しています。BA19は、上丘および視床枕を介して網膜からの入力を受け取り、盲視の現象に寄与する可能性があります。幼少期から盲目の患者では、この領域が体性感覚刺激によって活性化されることが判明しています。これらの発見から、BA19は「何」と「どこ」の2つの視覚経路の分化点であると考えられています。背側領域には運動感受性ニューロンが含まれる可能性があり、腹側領域は物体認識に特化している可能性があります。,ScienceDirectの概要ページによると、BA19は感覚皮質領域に位置し、デルタ波の周波数帯域で局所化されることが示されています。EEG研究において、BA19は他のブロードマン領域と同様にデルタ周波数帯域で活動が観察されます。,EEG研究において、BA19は他のブロードマン領域と同様にシータ周波数帯域で活動が観察されます。特に、解離性エピソード中のEEG研究では、BA17/18/19領域においてシータ帯域での活動増加が報告されています。,EEG研究において、BA19は他のブロードマン領域と同様にアルファ周波数帯域で活動が観察されます。特に、解離性エピソード中のEEG研究では、BA17/18/19領域においてアルファ帯域での活動増加が報告されています。,EEG研究において、BA19は他のブロードマン領域と同様にベータ周波数帯域で活動が観察されます。特に、解離性エピソード中のEEG研究では、BA17/18/19領域においてベータ帯域での活動増加が報告されています。,EEG研究において、BA19は他のブロードマン領域と同様にガンマ周波数帯域で活動が観察されます。,"BA19を構成する多様な領域は、領域17および18、ならびに後部頭頂および下側頭連合野と相互に結合しています。BA19は、複数のゾーン（V2, V3, V4, V5, V6）に細分化され、それぞれが異なる接続パターンを持っています。これらのゾーンは、領域17および18、ならびに後部頭頂および下側頭連合野と相互に接続しています。特に、視空間ワーキングメモリに関与する右側優位のネットワークの一部であり、記憶課題中の内部視覚イメージの生成に後頭皮質活動が反映されます。",BA19の病変は、同時失認やバリン症候群などの視覚性注意障害と関連しており、空間処理および注意処理におけるその役割が強調されています。BA19はまた、滑動性眼球運動にも寄与しており、BA19、37、39を含む後頭側頭頭頂接合部から皮質信号が発生します。電気生理学的および神経画像研究では、BA19が反復プライミングや視覚単語幹補完課題中の神経活動の低下と関連付けられています。さらに、BA19の興奮は、臨床集団における複雑な視覚性幻覚に関与しているとされています。顔処理に関与する後頭顔領域は、ブロードマン領域18または19内に位置します。両側性のBA19病変、特に背外側後頭葉および頭頂後頭接合部の病変は、バリン症候群の特徴であり、同時失認や視性運動失調を含む視覚性注意および行動に重度の欠陥を呈します。これらの病変は、後頭側頭領域にも広がり、視野欠損や視覚失認を引き起こす可能性があります。同時失認は主に両側性の頭頂および頭頂後頭病変（BA19を含む）に起因するとされています。視覚失認（統覚型および連合型）は、後頭および後頭側頭領域、特にブロードマン領域17、18、19の両側性病変と関連しています。統覚型失認は知覚を障害し、連合型失認は視覚からの意味的表現を計算する能力を障害します。ビジュアルスノウ症候群（VSS）の神経画像研究では、右舌状回（BA19の一部）の代謝亢進と、舌状回と紡錘状回接合部付近の灰白質体積の増加が示されています。統合失調症では、BA19における皮質代謝率と体積の減少が観察されており、対照群と比較して代謝活動が低く、これらの変化は視覚性注意欠陥および視覚処理障害と関連しています。,
BA20,BA20,"Brodmann area 20 (BA20) is part of the temporal cortex in the human brain, specifically the ventral temporal cortex. It is also known as inferior temporal area 20 and corresponds approximately to the inferior temporal gyrus. Cytoarchitecturally, it is bounded medially by the ectorhinal area 36 (H), laterally by the middle temporal area 21, rostrally by the temporopolar area 38 (H), and caudally by the occipitotemporal area 37 (H) (Brodmann-1909).","BA20 is believed to play a significant role in high-level visual processing, including object recognition, and recognition memory. It is involved in visual working memory maintenance and interactions with the medial temporal lobe and prefrontal cortex during these processes.","While the provided academic paper mentions delta activity in the temporal lobe generally, it does not specify characteristics for BA20. However, other research indicates that delta waves (0.5-4 Hz) are prominent during deep, dreamless sleep and are associated with the brain's 'rest and repair' mode.","EEG phase synchronization in the theta band (3-8 Hz) between the inferior temporal cortex (including BA20) and other regions is observed, increasing with memory load. Theta waves (4-8 Hz) are typically associated with states of deep relaxation, meditation, and memory encoding.","EEG phase synchronization in the alpha band (9-12 Hz) between the inferior temporal cortex (including BA20) and other regions is observed, increasing with memory load. Alpha waves (8-13 Hz) are generally associated with relaxed wakefulness.","Beta1 (13-18 Hz) and Beta2 (19-25 Hz) bands are analyzed in the inferior temporal cortex (including BA20). Synchronization in these bands between the IT cortex and other regions is observed, increasing with memory load. Beta waves (13-30 Hz) are typically associated with active thinking, alertness, and problem-solving.","Gamma1 (26-50 Hz), Gamma2 (51-75 Hz), and Gamma3 (76-100 Hz) bands are analyzed in the inferior temporal cortex (including BA20). The high gamma range (51-75 Hz) shows increased top-down coupling from the anterior parahippocampal gyrus to the IT cortex with increasing memory load. Gamma oscillations (30-100 Hz+) are generally associated with strong mental activities, active information processing, and memory formation.","BA20 is bounded medially by the ectorhinal area 36 (H), laterally by the middle temporal area 21, rostrally by the temporopolar area 38 (H), and caudally by the occipitotemporal area 37 (H). It shows phase synchronization with the anterior parahippocampal gyrus and other medial temporal lobe (MTL) regions, particularly during visual working memory tasks. Coupling can be bidirectional, with increased top-down coupling from the anterior parahippocampal gyrus to the IT cortex in the high gamma range with increasing cognitive load.","Synaptic loss in the inferior temporal gyrus (ITG), which includes BA20, is observed in mild cognitive impairment and Alzheimer's Disease (AD). Hypoperfusion in BA20 has been linked to eating disorders in AD patients, and BA20 is identified as a vulnerable neuronal subpopulation to tau pathology in AD. Abnormalities in gray matter volume in the ITG (including BA20) have been observed in patients with first-episode schizophrenia. BA20 is also implicated in the histopathological networks associated with Frontotemporal Dementia (FTD).",
BA21,BA21,"Brodmann Area 21 (BA21) is part of the temporal cortex in the human brain, encompassing most of the lateral temporal cortex, and corresponding approximately to the middle temporal gyrus. It is a subdivision of the cytoarchitecturally defined temporal region of the cerebral cortex. BA21 is superior to BA20 and inferior to BA40 and BA41. It is bounded rostrally by the temporopolar area 38, ventrally by the inferior temporal area 20, caudally by the occipitotemporal area 37, and dorsally by the superior temporal area 22.","BA21 is a higher-order visual association cortex with medium myelin content. It plays an important role in auditory processing, language comprehension, semantic memory, speech processing, and interpreting social cues like tone of voice and facial expressions. It is involved in processing sensory information, language, and memory.","BA21 has been implicated in delta-beta coupling, particularly in relation to state anxiety, suggesting an interaction between very slow (delta, 0.5-4Hz) and faster (beta) oscillations within this region. Delta waves are typically associated with deep, dreamless sleep and 'rest and repair' modes.","While specific, isolated characteristics for each EEG band directly attributed solely to BA21 are not extensively detailed, general theta oscillations (4-8Hz) are associated with memory functions and can predict lower cognitive functioning if increased during resting state. Increased spindle-related brain activation has been observed in the right middle temporal gyrus (BA21) during N2 sleep, suggesting its involvement in sleep architecture and memory consolidation processes during lighter non-REM sleep stages.","While specific, isolated characteristics for each EEG band directly attributed solely to BA21 are not extensively detailed, general alpha oscillations (8-13Hz) are associated with relaxed states and can be involved in memory functions.","BA21 has been implicated in delta-beta coupling, particularly in relation to state anxiety, suggesting an interaction between slow (delta) and faster (beta, 13-30Hz) oscillations within this region. Beta waves are generally associated with active, external attention.","Synchronization of gamma oscillations (30-100Hz+) in the middle temporal gyrus (BA21) has been shown to increase functional connectivity, highlighting its role in coordinating neural communication and supporting higher-order cognitive functions.","BA21 works closely with other language regions, including Wernicke’s area (BA22). It exhibits complex functional connectivity patterns with other brain regions, contributing to higher-order cognitive functions, including involvement in working memory tasks and emotional processing. Synchronization of gamma oscillations in BA21 increases its functional connectivity. Its connectivity can be altered in various neurological and psychiatric conditions.","BA21 is critically involved in various neurological and psychiatric conditions. Reduced activity is observed in neurodegenerative disorders like Alzheimer's disease, contributing to language and memory impairments. Damage or dysfunction can lead to aphasia. Imbalanced functional connectivity of the left BA21 is linked to social anxiety disorder, and the left BA21 has been associated with hallucinations.",
BA22,BA22,"Brodmann Area 22 is cytoarchitecturally located in the posterior superior temporal gyrus of the brain. In the left cerebral hemisphere, it is one portion of Wernicke's area. It is bounded rostrally by Brodmann area 38, medially by Brodmann area 42, ventrocaudally by Brodmann area 21, and dorsocaudally by Brodmann area 40 and Brodmann area 39. These cortical regions surround the lower left posterior Sylvian fissure.","In the left hemisphere, BA22 is crucial for language comprehension and production, supporting lexical semantic processing, generation and understanding of individual words, producing sentences, semantic processing, and processing of complex sounds. It forms a significant part of Wernicke's area. In the right hemisphere, BA22 helps to discriminate pitch and sound intensity, which are necessary for perceiving melody and prosody.","Delta waves (0.5-4Hz) are generally associated with deep sleep and unconscious processes. While not specifically detailed for BA22, delta activity can increase in frontal leads during tasks requiring concentration, such as semantic tasks.",,BA22 shows a decrease in Alpha-2 activity after exercise. Alpha waves (8-13Hz) are generally associated with relaxed wakefulness and can be sound-sensitive in the superior temporal cortex.,"BA22 shows a decrease in Beta-1 activity after exercise. Beta waves (13-30Hz) are generally associated with active thinking, alertness, and concentration.","BA22 shows a decrease in Gamma activity after exercise. Gamma waves (30-100Hz+) are generally associated with higher-level cognitive functions, perception, and consciousness.","BA22 is part of Wernicke's area, which also includes Brodmann area 40 (supramarginal gyrus). It is connected with nonverbal sound processing in the right hemisphere. Higher preoperative coupling between the Hippocampus and BA22 has been observed.","Lesions to the left BA22, specifically within Wernicke's area, result in Wernicke's aphasia (receptive aphasia), characterized by difficulty comprehending language, despite normal intonation and rate of speech. Patients may struggle with word selection and comprehension, leading to sentences that are difficult for others to understand. Higher preoperative coupling between the Hippocampus and BA22 has been associated with a postoperative reduction in verbal learning. Accumulation of Advanced Glycation End products (AGEs) in BA22 is observed in Alzheimer's Disease, progressing through early, middle, and later stages.",
BA23,BA23,"BA23 is located within the posterior cingulate cortex, situated between Brodmann areas 30 and 31. It resides on the medial wall of the cingulate gyrus, specifically between the callosal sulcus and the cingulate sulcus. It is also referred to as the ventral posterior cingulate area 23. In humans, it occupies most of the posterior cingulate gyrus adjacent to the corpus callosum, bounded caudally by the parieto-occipital sulcus. Cytoarchitecturally, it is bordered dorsally by dorsal posterior cingulate area 31, rostrally by ventral anterior cingulate area 24, and ventrorostrally in its caudal half by the retrosplenial region.","Brodmann Area 23 is involved in processing emotions, feeling pain, creating emotional memories, and helping with social communication. It also plays a part in learning from emotional feedback and avoiding negative experiences. Together with BA24 and BA28, it plays important roles in emotional processing, memory, and other cognitive functions within the limbic system.","Observed in the PCC, with some studies indicating their role in regulatory modulation, particularly in the eyes-open state (Wang et al., 2019; Lin et al., 2021).","Present in the PCC, with some research suggesting a role in memory and cognitive processing, and potentially linked to drowsiness (Wang et al., 2019; Lin et al., 2021).","Detected in the PCC, often associated with resting-state wakefulness and potentially reflecting preclinical amyloidosis and cognitive reserve (Wang et al., 2019; Lin et al., 2021; Lopez et al., 2024).","Identified in the PCC, with studies noting their presence during various brain states (Wang et al., 2019).","While general gamma activity is associated with cognitive processing and attention, specific detailed characteristics for BA23 within the PCC are less explicitly detailed in the current search results. However, stimulation of the PCC has been shown to impair recall memory, with the degree of impairment predicted by stimulation-induced hippocampal gamma activity (Natu et al., 2019).","BA23 is a crucial component of the default mode network (DMN), a brain network active during wakeful rest and self-referential thought. It shows increased connectivity within the DMN, suggesting compensatory neural adaptations in certain conditions (Wang et al., 2025). It has well-differentiated layers and connections to other Brodmann areas. For instance, in macaques, subdivisions of BA23 show differential thalamic connections (Shibata & Yukie, 2003). Declines in connectivity between the BA23 region and both the lingual and fusiform gyri have been observed in some conditions (Wang et al., 2025).","Changes in BA23 and the broader PCC are implicated in various neurological and psychiatric conditions. For example, altered posterior cingulate cortical cytoarchitecture has been observed (Oblak et al., 2011). Increased connectivity within the DMN, particularly in BA23, has been noted in conditions like neuromyelitis optica spectrum disorder (NMOSD), correlating with improvements in EDSS scores (Wang et al., 2025). Mesial frontal grey matter atrophy, greatest in the motor cingulate (BA23), has been linked to clinical deficits in some disorders (Cordato et al., 2005). Elevated EEG functional connectivity between the PCC and subgenual prefrontal cortex (sgPFC) is significantly elevated in recurrent Major Depressive Disorder (rMDD) and is associated with rumination (Benschop et al., 2021). BA23 activation has also been correlated with social competence in cocaine addiction (Bachi et al., 2020).",
BA24,BA24,"Brodmann Area 24 (BA24) is part of the anterior cingulate in the human brain, specifically known as the ventral anterior cingulate area 24. It is a subdivision of the cytoarchitecturally defined cingulate cortex region of the cerebral cortex (area cingularis anterior ventralis). BA24 occupies most of the anterior cingulate gyrus in an arc around the genu of the corpus callosum. Its outer border corresponds approximately to the cingulate sulcus. Cytoarchitecturally, it is bounded internally by the pregenual area 33, externally by the dorsal anterior cingulate area 32, and caudally by the ventral posterior cingulate area 23 and the dorsal posterior cingulate area 31.","BA24 is generally involved in emotional and cognitive processing. More specifically, it plays a role in regulating emotions, motivation, detecting errors, and controlling automatic body functions like heart rate.","High delta (0.5-4Hz) wave power, particularly during NREM sleep, is critical for memory, cognition, sleep maintenance, and mental health. It is also involved in the clearance of toxic proteins from the brain. While not exclusively localized to BA24, the anterior cingulate cortex (which includes BA24) is part of the broader cortical network where delta waves are observed and contribute to these functions.",Higher theta (4-8Hz) activity in the rostral ACC (including BA24) is associated with better treatment response in major depression. This suggests a role in emotional and cognitive processing related to mood regulation and therapeutic outcomes.,"Alpha power in the anterior cingulate cortex (ACC), which includes BA24, has been linked to behavioral inhibition and may be altered in depression. Increased overall frontal and parietal alpha power and left midfrontal hypoactivity have been observed in depressed males.","Beta (13-30Hz) oscillations in the ACC (including BA24) predict associated reward and choice bias, and track reward receipt. Reduced magnitude of bias in depressed patients correlates with reduced beta-specific effects. This suggests ACC beta oscillations orchestrate the learning of reward information to guide adaptive choice and may serve as a biomarker for anhedonia.","High gamma (60-140 Hz) power increases in the ACC (including BA24) have been observed following negative feedback (errors), suggesting a role in error processing and subsequent adjustments in cognitive control. Gamma activity in the ACC is also associated with higher-order cognitive functions and emotional regulation.","BA24 acts as a central hub, integrating cognitive-behavioral, emotional, and autonomic functions. It receives inputs from the orbitofrontal cortex and amygdala. It shows functional connectivity with the superior frontal gyrus (including BA8, BA10, BA32), temporal and parietal areas (e.g., subdivisions of BA7), and visual association areas (BA19). BA24 co-activates with the right postcentral gyrus (BA40) and supplementary motor area (SMA) during perceptual tasks. The subgenual ACC (sgACC), which includes parts of BA24/25, exhibits modulated connectivity with regions like the superior frontal gyrus, particularly in conditions such as depression.","BA24, particularly the subgenual ACC (sgACC), is implicated in mood disorders, influencing emotional behavior and being associated with clinical depression and bipolar disorder. Changes in BA24 activity correlate with ketamine's antidepressant effects. Reduced beta-specific effects in BA24 are observed in depressed patients, potentially serving as a biomarker for anhedonia. Abnormalities in BA24 are associated with Autism Spectrum Disorder. It is a region of interest for pathology in Lewy Body Dementia (LBD) and Parkinson's Disease Dementia (PDD), and changes in cell densities have been observed in alcohol dependence. The ACC (including BA24) is a key cortical center for integrating pain with emotional and situational cues. Increased activity in BA24 has been linked to emotional regulation and stress management.",
